caseid,weight,REGNRACE,SEXAGEWT,ADJWT,MSUEWT,STATEWT,EADJWT,EMSUEWT,ESTATEWT,CC1,CC2,CC3,CC4,CC5,CC6,A1,PO1,PO2,vote,vote1,vote1a,vote3,vote3a,vote4,vote4a,perception_a,perception_b,perception_c,vote5,vote5a,vote5b,vote5c,bever_vote6a,bever_vote6b,bever_vote6c,bever_vote6d,bever_vote6e,bever_vote6f,bever_vote6g,D10,D11,D12,P4a,caseapproval1,requity_a,requity_b,requity_c,requity_d,requity_e,requity1,UN1,UN2,UN3,demo_county,demo_Detroit,cellular2,NEAL1,NEAL2,NEAL3,Q4a,Q4b,Q4c,Q4d,mcan0,mcan1,mcan2,mcan_treatment,mcan3a,mcan4a,mcan3b,mcan4b,mcancovid,inputstate,region,CD1,CD2,CD3,CD5a,CD4_1,CD4_2,CD4_3,CD4_4,CD4_5,CD4_6,CD6,CD6_t,CD7,partyid,ideology,CD8,CD8_t,CD10,CD11,CD15,CD15_t,inc,X1,X1_t,child18,presvote16post,presvote20post,inputzip,votereg,newsint,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1947804221,1.011323601,1.157761737,0.913383428,0.913383428,0.911039464,.9228612450032611,0.710861325,.7067502882254501,0.766163643,Worse off,Worse off,Just fair,Go up,About the same,Bad times,Trumpism,Good,Good,Very likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,Moderate but closer to the conservative side,Moderate but closer to the liberal side,Very conservative,Support,not asked,Legal only under certain circumstances,Pro-choice,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Almost never,Some of the time,Some of the time,Stopping far right conspiracy theory anti democracy fascists,Disapprove,"Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly",I’m white so it doesn’t apply to me,not asked,No,No,St. Clair County,not asked,Yale,Yes,not asked,not asked,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,No,Somewhat important,Strongly disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Female,1972,2nd year college,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"None; no religious group (Atheist, Agnostic, etc.)",__NA__,Democrat,Strong Democrat,Somewhat liberal,Divorced,__NA__,2,0,Disabled,__NA__,"$30,000 to $39,999",Rural community,__NA__,No,Hillary Clinton,Joe Biden,48097,Yes,Most of the time,Never,No,Not at all important,Never,7-Sep-22,7-Sep-22
1948641003,4.108366909,0.624007704,0.494083375,0.494083375,0.492815437,0.499210282,0.631329666,0.627678575,0.680444723,Worse off,Worse off,Poor,Go up,Worse than,Neither good nor bad/Stay the same,Prices of gas and food,Poor,Poor,Very likely,Neither,not asked,Matthew DePerno,not asked,Kristina Karamo,not asked,Very liberal,Somewhat liberal,In the middle,Support,not asked,Legal only under certain circumstances,Pro-choice,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Almost never,Almost never,Almost never,Inflation,Disapprove,"No, not treated less fairly","No, not treated less fairly","No, not treated less fairly","No, not treated less fairly","No, not treated less fairly",Treated equally,not asked,Yes,No,Wayne County,No,Van buren twp,Yes,not asked,not asked,Disagree,Disagree,Disagree,Disagree,No,Very important,Somewhat disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Male,1958,High school graduate or GED holder,"No, not of Hispanic/Latinx/Spanish origin",not selected,not selected,not selected,not selected,selected,not selected,Other,Native American people,Independent,Lean Republican,In the middle,Married or Remarried,__NA__,3,0,Disabled,__NA__,"$10,000 to $19,999",Rural community,__NA__,skipped,Donald Trump,Donald Trump,48111,Yes,Most of the time,Never,No,Very important,Several times a day,7-Sep-22,7-Sep-22
1948660459,0.673926016,1.157761737,1.439916752,1.439916752,1.436221576,1.454858197,1.038912754,1.032904538,1.119736231,Better off,Better off,Just fair,Go down,About the same,Neither good nor bad/Stay the same,Economy,Excellent,Excellent,Very likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,Somewhat liberal,Very liberal,Very conservative,Support,not asked,Legal under any circumstances,Pro-choice,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Some of the time,Some of the time,Nearly always or most of the time,Abortion rights,Disapprove,"Yes, treated less fairly","No, not treated less fairly","Yes, treated less fairly","No, not treated less fairly","Yes, treated less fairly",None,No,No,not asked,Oakland County,not asked,Southfield,No,Yes,not asked,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,Somewhat important,Somewhat disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Male,1992,Graduate degree,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"None; no religious group (Atheist, Agnostic, etc.)",__NA__,Democrat,Strong Democrat,Very liberal,"Single, never been married",__NA__,1,0,Work full-time,__NA__,"$40,000 to $49,999",Urban community,__NA__,No,Did not vote for President,Joe Biden,48033,Yes,Most of the time,Never,No,Not at all important,Never,7-Sep-22,7-Sep-22
1948669409,0.974427643,0.948571804,1.030220544,1.030220544,1.027576748,0.995124731,0.897128836,0.891940582,0.779722498,Worse off,About the same,Just fair,Go up,About the same,Bad times,Inflation and a pedophile president,Poor,Poor,I don’t know,Neither,not asked,I don’t know,Neither,I don’t know,I don’t know,Somewhat liberal,In the middle,Somewhat conservative,I don’t know,I don’t know,Legal only under certain circumstances,Pro-life,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Some of the time,Some of the time,Some of the time, ,Approve,"No, not treated less fairly","No, not treated less fairly","No, not treated less fairly","No, not treated less fairly","No, not treated less fairly", ,not asked,No,No,Ottawa County,not asked,Allendale,Yes,not asked,not asked,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Yes,Somewhat important,Somewhat disagree,Treatment Group 1 (mcan3/4a),10,Somewhat likely,not asked,not asked,Not at all,Michigan,Midwest,Female,1983,Technical/junior college graduate,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"None; no religious group (Atheist, Agnostic, etc.)",__NA__,Republican,Not a very strong Republican,Somewhat conservative,"Single, never been married",__NA__,4,1,Disabled,__NA__,"Less than $10,000",A suburb,__NA__,Yes,Did not vote for President,Did not vote for President,49401,Yes,Only now and then,Never,No,Not too important,Seldom,7-Sep-22,7-Sep-22
1946397395,1.050536314,1.157761737,0.817153115,0.817153115,0.815056102,0.825632388,0.589583246,.5861735820884409,0.63545059,Worse off,About the same,Not so good,Stay about the same,Better than,Good times,Community housing,Excellent,Excellent,Very likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,Moderate but closer to the conservative side,In the middle,Very conservative,Support,not asked,Legal under any circumstances,Pro-choice,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Nearly always or most of the time,Nearly always or most of the time,Some of the time,"Gun control, voting rights, legalized abortions",Disapprove,I don’t know,I don’t know,I don’t know,I don’t know,I don’t know,No experience with this.,not asked,Yes,not asked,Oakland County,not asked,Township,No,No,Yes,Agree,Agree,Agree,Agree,No,Very important,Strongly disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Female,1950,Graduate degree,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"None; no religious group (Atheist, Agnostic, etc.)",__NA__,Democrat,Strong Democrat,Very liberal,"Single, never been married",__NA__,1,0,Retired,__NA__,"$10,000 to $19,999",A suburb,__NA__,No,Hillary Clinton,Joe Biden,48324,Yes,Most of the time,Seldom,No,Not too important,Once a day,7-Sep-22,7-Sep-22
1948687183,0.523480669,1.157761737,.9167047505104789,.9167047505104789,0.914352263,0.926217032,0.661410637,0.657585583,0.71286588,Better off,Better off,Excellent,Go down,Worse than,Good times,Congress acting in its own political parties interest and not the countries.,Excellent,Excellent,Very likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,Somewhat liberal,Moderate but closer to the liberal side,Very conservative,Support,not asked,Legal only under certain circumstances,Pro-choice,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Nearly always or most of the time,Nearly always or most of the time,Nearly always or most of the time,"ROADS, ROADS AND ROADS",Disapprove,"Yes, treated less fairly","No, not treated less fairly","Yes, treated less fairly","No, not treated less fairly","Yes, treated less fairly",Im a white male. Im treated fine or i leave!,not asked,not asked,not asked,Macomb County,not asked,Warren,No,No,Don't know,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,No,Very important,Strongly disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Male,1958,Graduate degree,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"None; no religious group (Atheist, Agnostic, etc.)",__NA__,Democrat,Strong Democrat,Somewhat liberal,"Single, never been married",__NA__,1,0,Other,Self employed,"$80,000 to $89,999",A suburb,__NA__,No,Gary Johnson,Joe Biden,48091,Yes,Most of the time,Never,No,Not at all important,Never,7-Sep-22,7-Sep-22
1948637877,1.716241843,1.157761737,1.654140088,1.654140088,1.649895163,1.671304443,2.186795578,2.174148953,2.356919991,About the same,Better off,Just fair,Go down,Better than,Neither good nor bad/Stay the same,Inflation,Good,Good,Somewhat likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,Somewhat liberal,Somewhat liberal,Somewhat conservative,Support,not asked,Legal under any circumstances,Pro-choice,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Some of the time,Some of the time,Seldom,Reproductive rights,Disapprove,"Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly",I don’t believe I am in any noticeable ways,not asked,No,No,Wayne County,No,Southgate,No,Don't know,not asked,Disagree,Strongly disagree,Strongly disagree,Disagree,No,Somewhat important,Somewhat agree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Female,2003,1st year college,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"None; no religious group (Atheist, Agnostic, etc.)",__NA__,Democrat,Strong Democrat,Somewhat liberal,"Single, never been married",__NA__,3,0,School full time,__NA__,"$40,000 to $49,999",A suburb,__NA__,No,Did not vote for President,Did not vote for President,48195,Yes,Some of the time,Never,No,Not at all important,Never,7-Sep-22,7-Sep-22
1948687145,1.079832931,0.716883569,0.752035182,0.752035182,.7501052769201429,0.720765353,0.564077318,0.560815159,0.582615339,Worse off,Worse off,Just fair,Go up,Worse than,Bad times,"Inflation, jobs, and the economy in general.",Poor,Poor,Very likely,Tudor Dixon,not asked,Matthew DePerno,not asked,Kristina Karamo,not asked,Very liberal,Very liberal,In the middle,I don’t know,Oppose,Legal only under certain circumstances,Pro-life,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Almost never,Almost never,Some of the time,Jobs and economy,Approve,"No, not treated less fairly","No, not treated less fairly","No, not treated less fairly","No, not treated less fairly","No, not treated less fairly",Not sure.,Yes,not asked,Yes,Eaton County,not asked,Charlotte,No,No,No,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,No,Somewhat important,Strongly disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Male,1980,Technical/junior college graduate,"No, not of Hispanic/Latinx/Spanish origin",not selected,not selected,not selected,not selected,not selected,selected,"Protestant (Baptist, Methodist, Lutheran, Episcopalian, etc.)",__NA__,Independent,Neither,In the middle,Married or Remarried,__NA__,2,0,Work full-time,__NA__,"$100,000 to $149,999","Small city or town, village",__NA__,No,Donald Trump,Donald Trump,48813,Yes,Most of the time,Seldom,No,Somewhat important,A few times a month,7-Sep-22,7-Sep-22
1948084737,0.799442192,1.157761737,.9167047505104789,.9167047505104789,0.914352263,0.926217032,0.713446219,0.709320234,0.768949633,About the same,About the same,Just fair,Stay about the same,About the same,Good times,High rents,Fair,Good,Very likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,Somewhat conservative,In the middle,Very conservative,Support,not asked,Legal only under certain circumstances,Pro-choice,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Some of the time,Some of the time,Some of the time,Poverty,Disapprove,"Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly","Not at all. I am an older, white man.",not asked,No,not asked,Oakland County,not asked,Clawson,No,No,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,Somewhat important,Strongly disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Male,1962,2nd year college,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"None; no religious group (Atheist, Agnostic, etc.)",__NA__,Democrat,Strong Democrat,Very liberal,Divorced,__NA__,1,0,Retired,__NA__,"$30,000 to $39,999",A suburb,__NA__,No,Hillary Clinton,Joe Biden,48017,Yes,Most of the time,Never,No,Not at all important,Never,7-Sep-22,7-Sep-22
1736845167,1.265752993,1.157761737,1.654140088,1.654140088,1.649895163,1.671304443,3.038529778,3.020957423,3.274915886,About the same,About the same,Just fair,Go up,Worse than,Neither good nor bad/Stay the same,Inflation,Poor,Poor,I don’t know,I don't know,I don't know,I don’t know,I don’t know,I don’t know,I don’t know,Don’t know,Don’t know,Don’t know,I don’t know,Oppose,Legal under any circumstances,I don’t know,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Some of the time,Almost never,Almost never,I’m not sure,I don’t know,"No, not treated less fairly","No, not treated less fairly","No, not treated less fairly","No, not treated less fairly","No, not treated less fairly", ,No,No,No,Genesee County,not asked, ,Don't know,Don't know,not asked,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,Somewhat important,Somewhat agree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Female,2002,High school graduate or GED holder,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,Other, ,Independent,Neither,Don't know,"Single, never been married",__NA__,3,0,Work part-time,__NA__,"$10,000 to $19,999","Small city or town, village",__NA__,skipped,Did not vote for President,Did not vote for President,48506,Yes,Don't know,Don't know,No,Somewhat important,Don't know,7-Sep-22,7-Sep-22
1948707471,0.772024088,0.751696057,0.816398629,0.816398629,.8143035517720451,0.78858694,0.628255899,0.624622585,0.546036689,About the same,About the same,Good,Stay about the same,About the same,Neither good nor bad/Stay the same,Homeless,Poor,Poor,Very unlikely,Neither,not asked,Neither,not asked,Neither,not asked,Very liberal,Very liberal,Very conservative,Support,not asked,Legal under any circumstances,Pro-choice,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Almost never,Almost never,Almost never,Idiots,Disapprove,"Yes, treated less fairly","Yes, treated less fairly","Yes, treated less fairly",I don’t know,I don’t know,Because white people think they are above black people,not asked,No,No,Kent County,not asked,Grand Rapids,Yes,not asked,not asked,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Somewhat unimportant,Somewhat disagree,Treatment Group 2 (mcan3/4b),not asked,not asked,15,Somewhat unlikely,Not at all,Michigan,Midwest,Female,1984,College graduate (four years),"No, not of Hispanic/Latinx/Spanish origin",selected,selected,not selected,not selected,not selected,not selected,"None; no religious group (Atheist, Agnostic, etc.)",__NA__,Democrat,Not a very strong Democrat,Don't know,Member of an unmarried couple,__NA__,2,1,Homemaker,__NA__,"$30,000 to $39,999",Urban community,__NA__,Yes,Hillary Clinton,Joe Biden,49503,Yes,Hardly at all,Seldom,No,Somewhat important,A few times a week,7-Sep-22,7-Sep-22
1947580741,0.298767793,1.157761737,1.257416594,1.257416594,1.254189757,1.270464307,1.606701293,1.597409456,1.731696568,About the same,About the same,Just fair,Go up,About the same,Neither good nor bad/Stay the same,High cost of living,Poor,Fair,Somewhat unlikely,I don't know,I don't know,I don’t know,I don’t know,I don’t know,I don’t know,Somewhat liberal,Somewhat liberal,Don’t know,I don’t know,I don’t know,Legal under any circumstances,Pro-choice,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Almost never,Almost never,Almost never,I'm not sure,Disapprove,I don’t know,I don’t know,I don’t know,I don’t know,I don’t know,I don't believe I am.,No,Yes,No,Macomb County,not asked,Warren,No,No,No,Disagree,Disagree,Neither agree nor disagree,Disagree,No,Very important,Strongly disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Female,1988,High school graduate or GED holder,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"None; no religious group (Atheist, Agnostic, etc.)",__NA__,Independent,Neither,Closer to the liberal side,"Single, never been married",__NA__,3,0,Work full-time,__NA__,"$20,000 to $29,999",Urban community,__NA__,No,Did not vote for President,Other,48091,Yes,Hardly at all,Never,No,Not at all important,Never,7-Sep-22,7-Sep-22
1948641037,1.491401966,1.043730818,1.298095663,1.298095663,1.294764434,1.24412049,0.97365966,0.968028815,1.00565833,About the same,Better off,Good,Go down,Worse than,Neither good nor bad/Stay the same,Inflation,Excellent,Excellent,Very likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,Moderate but closer to the liberal side,Moderate but closer to the liberal side,Very conservative,Support,not asked,Legal only under certain circumstances,Pro-choice,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Some of the time,Some of the time,Some of the time,Housing,Disapprove,"Yes, treated less fairly",I don’t know,"Yes, treated less fairly",I don’t know,"Yes, treated less fairly",I have not personally been treated unfairly on account of race or ethnicity,No,No,not asked,Jackson County,not asked,Jackson,No,Don't know,not asked,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,No,Somewhat important,Somewhat agree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Male,1984,2nd year college,"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"None; no religious group (Atheist, Agnostic, etc.)",__NA__,Democrat,Strong Democrat,Somewhat liberal,"Single, never been married",__NA__,1,0,Work and go to school,__NA__,"$10,000 to $19,999",A suburb,__NA__,No,Hillary Clinton,Joe Biden,49201,Yes,Most of the time,Never,No,Not at all important,Never,7-Sep-22,7-Sep-22
1948677391,0.994982955,0.948571804,1.179745701,1.179745701,1.176718187,1.139556117,0.907868007,0.902617646,0.789056245,Worse off,Better off,Just fair,Go up,About the same,Neither good nor bad/Stay the same,The problem of securing job opportunities,Good,skipped,Very likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,Moderate but closer to the liberal side,Don’t know,Don’t know,Oppose,not asked,Legal only under certain circumstances,Pro-life,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Some of the time,Some of the time,Nearly always or most of the time,Job creation,Approve,"No, not treated less fairly","No, not treated less fairly","No, not treated less fairly","No, not treated less fairly","No, not treated less fairly",There is no discrimination,No,No,No,Muskegon County,not asked,Belleville,No,Yes,not asked,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Somewhat important,Somewhat agree,Treatment Group 2 (mcan3/4b),not asked,not asked,5,Very likely,Not at all,Michigan,Midwest,Male,1988,College graduate (four years),"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"Catholic; Roman Catholic, Orthodox",__NA__,Democrat,Strong Democrat,Somewhat liberal,Married or Remarried,__NA__,2,1,Work full-time,__NA__,"$40,000 to $49,999",Urban community,__NA__,Yes,Did not vote for President,Donald Trump,48111,Yes,Most of the time,Once or twice a month,Yes,Somewhat important,A few times a month,7-Sep-22,7-Sep-22
1947967955,0.752726897,1.157761737,1.223953672,1.223953672,1.22081271,1.236654153,0.841795185,0.836926935,.9072836619024111,Worse off,About the same,Just fair,Stay about the same,About the same,Neither good nor bad/Stay the same,gun violence,Fair,Excellent,Very likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,Moderate but closer to the liberal side,Somewhat liberal,Don’t know,Support,not asked,Legal only under certain circumstances,Pro-choice,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Some of the time,Some of the time,Some of the time,stopping people being able to disrupt government business,Disapprove,"Yes, treated less fairly",I don’t know,I don’t know,I don’t know,I don’t know, ,No,No,No,Macomb County,not asked,Clinton Twp,Yes,not asked,not asked,Agree,Disagree,Agree,Agree,Yes,Very important,Somewhat disagree,Treatment Group 1 (mcan3/4a),18,Very likely,not asked,not asked,A little,Michigan,Midwest,Female,1974,College graduate (four years),"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"None; no religious group (Atheist, Agnostic, etc.)",__NA__,Democrat,Not a very strong Democrat,Closer to the liberal side,Married or Remarried,__NA__,2,0,Work full-time,__NA__,"$150,000 or More",A suburb,__NA__,No,Hillary Clinton,Joe Biden,48036,Yes,Some of the time,Seldom,No,Not at all important,Never,7-Sep-22,7-Sep-22
1948713491,0.65906569,0.948571804,1.324184992,1.324184992,1.320786812,1.279074895,1.019020616,1.013127439,0.885662425,Better off,Better off,Good,Go down,About the same,Neither good nor bad/Stay the same,Republicans,Good,Good,Very likely,Gretchen Whitmer,not asked,Dana Nessel,not asked,Jocelyn Benson,not asked,In the middle,In the middle,Very conservative,Support,not asked,Legal under any circumstances,I don’t know,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Some of the time,Some of the time,Some of the time,infrastructure,Disapprove,"Yes, treated less fairly",I don’t know,I don’t know,I don’t know,I don’t know,I'm not treated differently,Yes,not asked,No,Kent County,not asked,Grand Rapids,No,No,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,Very important,Strongly disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Male,1967,College graduate (four years),"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"None; no religious group (Atheist, Agnostic, etc.)",__NA__,Democrat,Strong Democrat,Closer to the liberal side,Married or Remarried,__NA__,2,0,Work full-time,__NA__,"$90,000 to $99,999",Urban community,__NA__,No,Hillary Clinton,Joe Biden,49503,Yes,Most of the time,Never,No,Not at all important,Never,7-Sep-22,7-Sep-22
1947745115,0.65906569,0.933840689,1.303620685,1.303620685,1.300275278,1.341265572,1.130687274,1.124148309,.9957049120639651,About the same,Better off,Not so good,Stay about the same,About the same,Neither good nor bad/Stay the same,Lack of workers,Fair,Good,Very likely,Gretchen Whitmer,not asked,I don’t know,I don’t know,Jocelyn Benson,not asked,In the middle,In the middle,Very conservative,Support,not asked,Legal only under certain circumstances,I don’t know,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,skipped,Strongly agree,Neither agree nor disagree,Seldom,Some of the time,Nearly always or most of the time,Inflation,Disapprove,I don’t know,"No, not treated less fairly","No, not treated less fairly","No, not treated less fairly",I don’t know,None,No,No,not asked,Tuscola County,not asked,Silverwood,No,No,No,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,Somewhat unimportant,Somewhat disagree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Male,1967,College graduate (four years),"No, not of Hispanic/Latinx/Spanish origin",selected,not selected,not selected,not selected,not selected,not selected,"Protestant (Baptist, Methodist, Lutheran, Episcopalian, etc.)",__NA__,Independent,Lean Democrat,In the middle,Widowed,__NA__,1,0,Work part-time,__NA__,"$10,000 to $19,999",Rural community,__NA__,No,Hillary Clinton,Joe Biden,48760,Yes,Most of the time,Seldom,No,Not too important,Seldom,7-Sep-22,7-Sep-22
1948687381,1.257296372,0.970947971,1.387231856,1.387231856,1.383671882,1.343524786,0.888184415,0.883047888,0.852033211,Better off,Better off,Excellent,Go up,Worse than,Good times,okay so you know you want,Good,Good,Somewhat likely,Gretchen Whitmer,not asked,Neither,not asked,Neither,not asked,Moderate but closer to the liberal side,In the middle,Somewhat conservative,I don’t know,I don’t know,Illegal in all circumstances,I don’t know,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Some of the time,Some of the time,Seldom,okay so you know you want,Approve,"Yes, treated less fairly","No, not treated less fairly","No, not treated less fairly","Yes, treated less fairly","Yes, treated less fairly",okay baby baby i don’t,No,No,not asked,Baraga County,not asked,okay,Refused,not asked,not asked,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,skipped,No,Somewhat important,Somewhat agree,not asked,not asked,not asked,not asked,not asked,not asked,Michigan,Midwest,Female,1997,Some post graduate,"No, not of Hispanic/Latinx/Spanish origin",not selected,selected,not selected,not selected,not selected,not selected,"Protestant (Baptist, Methodist, Lutheran, Episcopalian, etc.)",__NA__,Democrat,Strong Democrat,Very liberal,"Single, never been married",__NA__,1,0,"Unemployed, laid off, or looking for work",__NA__,"Less than $10,000",A suburb,__NA__,No,Did not vote for President,Joe Biden,49525,Yes,Some of the time,Once a week,No,Somewhat important,A few times a week,7-Sep-22,8-Sep-22
